id,username,password,name,surname,role,
1,bartoszmal,password1,bartosz2,maleta,student,
2,johny,password2,john,smith,manager,
3,stevo,password3,steve,williams,regularEmployee,
4,tomson,password4,Thomas,tomsonik,student,
5,olaLogin,password4,Aleskandra,Jawowska,student,
6,es,pass,Stanislaw,Pythonowy,student,
7,qwewqexzc,zxczxc,zxczxc,zxcxz,mentor,
8,cvb,cvb,cvb,cvb,mentor,
9,przemo,pass,Przemyslaw,Krakowski,student,
10,dominiks,password3,Dominik,Mentorski,regularEmployee,
11,adrianos,password3,Adrian,Mentorski,mentor,
12,adamos,password3,Adam,Mentorski,regularEmployee,
13,marcinos,password3,Marcin,Mentorski,mentor,
